datetimeLocal,CO,NO2,O3,PM10,PM2.5,SO2,hour,day,month,day_of_week,crop_burning,winter_inversion,diwali
2021-07-10 06:00:00+05:30,598.9528795811518,8.6,1.643455497382199,11.0,39.79057591623037,2.500523560209424,6,10,7,5,0,0,0
2021-07-10 07:00:00+05:30,598.4293193717277,8.6,1.6651832460732985,11.0,39.68586387434555,2.500785340314136,7,10,7,5,0,0,0
2021-07-10 08:00:00+05:30,597.9057591623036,8.6,1.686910994764398,11.0,39.58115183246073,2.501047120418848,8,10,7,5,0,0,0
2021-07-10 09:00:00+05:30,597.3821989528795,8.6,1.7086387434554977,11.0,39.47643979057592,2.50130890052356,9,10,7,5,0,0,0
2021-07-10 10:00:00+05:30,596.8586387434555,8.6,1.7303664921465969,11.0,39.3717277486911,2.501570680628272,10,10,7,5,0,0,0
2021-07-10 11:00:00+05:30,596.3350785340314,8.6,1.7520942408376965,11.0,39.26701570680628,2.5018324607329845,11,10,7,5,0,0,0
2021-07-10 12:00:00+05:30,595.8115183246073,8.6,1.773821989528796,11.0,39.16230366492147,2.5020942408376965,12,10,7,5,0,0,0
2021-07-10 13:00:00+05:30,595.2879581151833,8.6,1.7955497382198955,11.0,39.05759162303665,2.5023560209424085,13,10,7,5,0,0,0
2021-07-10 14:00:00+05:30,594.7643979057592,8.6,1.8172774869109949,11.0,38.95287958115184,2.5026178010471205,14,10,7,5,0,0,0
2021-07-10 15:00:00+05:30,594.2408376963351,8.6,1.8390052356020945,11.0,38.84816753926702,2.5028795811518325,15,10,7,5,0,0,0
2021-07-10 16:00:00+05:30,593.717277486911,8.6,1.860732984293194,11.0,38.7434554973822,2.5031413612565445,16,10,7,5,0,0,0
2021-07-10 17:00:00+05:30,593.1937172774869,8.6,1.8824607329842933,11.0,38.63874345549738,2.5034031413612565,17,10,7,5,0,0,0
2021-07-10 18:00:00+05:30,592.6701570680628,8.6,1.904188481675393,11.0,38.53403141361257,2.5036649214659685,18,10,7,5,0,0,0
2021-07-10 19:00:00+05:30,592.1465968586388,8.6,1.9259162303664925,11.0,38.42931937172775,2.5039267015706805,19,10,7,5,0,0,0
2021-07-10 20:00:00+05:30,591.6230366492147,8.6,1.947643979057592,11.0,38.32460732984293,2.5041884816753925,20,10,7,5,0,0,0
2021-07-10 21:00:00+05:30,591.0994764397906,8.6,1.9693717277486915,11.0,38.21989528795812,2.5044502617801045,21,10,7,5,0,0,0
2021-07-10 22:00:00+05:30,590.5759162303665,8.6,1.991099476439791,11.0,38.1151832460733,2.504712041884817,22,10,7,5,0,0,0
2021-07-10 23:00:00+05:30,590.0523560209424,8.6,2.01282722513089,11.0,38.01047120418848,2.504973821989529,23,10,7,5,0,0,0
2021-07-11 00:00:00+05:30,589.5287958115183,8.6,2.0345549738219897,11.0,37.90575916230367,2.505235602094241,0,11,7,6,0,0,0
2021-07-11 01:00:00+05:30,589.0052356020942,8.6,2.0562827225130893,11.0,37.80104712041885,2.505497382198953,1,11,7,6,0,0,0
2021-07-11 02:00:00+05:30,588.4816753926701,8.6,2.0780104712041885,11.0,37.696335078534034,2.505759162303665,2,11,7,6,0,0,0
2021-07-11 03:00:00+05:30,587.958115183246,8.6,2.099738219895288,11.0,37.59162303664922,2.506020942408377,3,11,7,6,0,0,0
2021-07-11 04:00:00+05:30,587.434554973822,8.6,2.121465968586388,11.0,37.4869109947644,2.506282722513089,4,11,7,6,0,0,0
2021-07-11 05:00:00+05:30,586.9109947643979,8.6,2.1431937172774878,11.0,37.382198952879584,2.506544502617801,5,11,7,6,0,0,0
2021-07-11 06:00:00+05:30,586.3874345549738,8.6,2.1649214659685865,11.0,37.27748691099477,2.506806282722513,6,11,7,6,0,0,0
2021-07-11 07:00:00+05:30,585.8638743455498,8.6,2.186649214659686,11.0,37.17277486910995,2.507068062827225,7,11,7,6,0,0,0
2021-07-11 08:00:00+05:30,585.3403141361257,8.6,2.2083769633507853,11.0,37.068062827225134,2.507329842931937,8,11,7,6,0,0,0
2021-07-11 09:00:00+05:30,584.8167539267016,8.6,2.230104712041885,11.0,36.96335078534032,2.507591623036649,9,11,7,6,0,0,0
2021-07-11 10:00:00+05:30,584.2931937172775,8.6,2.2518324607329845,11.0,36.8586387434555,2.507853403141361,10,11,7,6,0,0,0
2021-07-11 11:00:00+05:30,583.7696335078534,8.6,2.273560209424084,11.0,36.75392670157069,2.508115183246073,11,11,7,6,0,0,0
